	4275	4277	4279	4280	4280a	4281
ENSG00000240216	1	2	1	2	1	2
ENSG00000240219	62	66	67	78	65	48
ENSG00000240224	0	0	0	0	0	0
ENSG00000240225	145	126	161	131	110	45
ENSG00000240230	613	649	737	686	716	555
ENSG00000240231	0	0	1	0	1	0
ENSG00000240233	3	5	6	3	9	6
ENSG00000240235	1	0	0	1	0	2
ENSG00000240236	0	0	0	0	0	0
ENSG00000240237	3	4	1	3	6	4
ENSG00000240238	0	0	0	0	0	0
ENSG00000240240	0	0	0	1	2	0
ENSG00000240241	1	0	0	0	2	0
ENSG00000240244	0	0	0	1	0	0
ENSG00000240246	0	0	0	0	0	0
ENSG00000240247	0	0	0	2	0	0
ENSG00000240250	0	0	0	0	0	0
ENSG00000240253	0	0	0	0	2	0
ENSG00000240254	0	0	0	0	0	0
ENSG00000240255	0	0	0	0	0	0
ENSG00000240265	0	0	0	0	0	0
ENSG00000240268	0	0	0	0	1	0
ENSG00000240270	13	2	4	1	1	1
ENSG00000240271	0	0	0	0	0	0
ENSG00000240280	0	0	0	0	0	0
ENSG00000240281	0	0	0	0	0	0
ENSG00000240286	0	0	0	0	0	0
ENSG00000240288	11	4	19	8	16	14
ENSG00000240291	65	70	79	86	102	53
ENSG00000240294	0	0	0	0	0	0
ENSG00000240296	0	0	0	0	0	0
ENSG00000240298	0	0	0	0	0	0
ENSG00000240299	0	0	0	0	0	0
ENSG00000240302	0	0	0	0	0	0
ENSG00000240303	68	77	143	114	99	9
ENSG00000240305	0	0	0	0	0	0
ENSG00000240306	1	0	2	0	0	0
ENSG00000240309	0	0	0	0	1	0
ENSG00000240311	0	1	4	1	0	0
ENSG00000240317	0	0	0	0	0	0
ENSG00000240320	0	0	0	0	1	0
ENSG00000240322	8	12	13	9	10	3
ENSG00000240327	0	0	0	0	0	0
ENSG00000240328	0	0	0	3	1	1
ENSG00000240338	0	0	0	1	1	0
ENSG00000240342	8039	5534	10419	18235	22779	9682
ENSG00000240344	352	385	588	593	588	450
ENSG00000240347	0	0	0	0	0	0
ENSG00000240350	3	12	18	17	12	15
ENSG00000240354	0	0	0	0	0	0
ENSG00000240355	0	0	0	0	0	0
ENSG00000240356	264	171	66	80	78	74
ENSG00000240359	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	0	0
ENSG00000240364	0	0	0	0	0	0
ENSG00000240366	1	0	0	0	2	7
ENSG00000240370	52	58	94	114	108	140
ENSG00000240371	0	0	0	0	0	0
ENSG00000240373	0	1	0	1	0	0
ENSG00000240374	0	0	0	0	0	0
ENSG00000240375	0	2	1	2	1	1
ENSG00000240376	610	679	757	918	1020	581
ENSG00000240382	8	5	11	12	7	6
ENSG00000240385	0	0	1	2	2	2
ENSG00000240386	0	0	0	0	0	0
ENSG00000240388	0	0	0	0	0	0
ENSG00000240392	4	1	3	1	2	1
ENSG00000240393	0	0	0	0	0	0
ENSG00000240395	58	50	58	72	92	56
ENSG00000240399	5	12	7	11	8	6
ENSG00000240401	5	3	5	6	13	5
ENSG00000240403	60	49	124	134	105	112
ENSG00000240404	0	0	0	0	3	0
ENSG00000240405	1	0	1	1	10	1
ENSG00000240409	0	0	1	1	0	0
ENSG00000240411	0	0	0	0	1	0
ENSG00000240412	0	0	1	0	0	0
ENSG00000240416	0	0	0	0	0	0
ENSG00000240418	0	0	0	0	0	1
ENSG00000240419	0	0	0	0	0	0
ENSG00000240423	0	0	0	0	0	0
ENSG00000240424	0	0	0	0	0	0
ENSG00000240426	0	0	0	0	0	0
ENSG00000240427	0	0	1	0	0	0
ENSG00000240429	9	15	11	13	11	7
ENSG00000240432	0	0	0	0	0	0
ENSG00000240435	2	3	5	9	7	2
ENSG00000240436	0	0	0	0	0	0
ENSG00000240438	0	0	0	0	0	0
ENSG00000240439	0	0	0	0	0	0
ENSG00000240440	0	5	4	1	0	0
ENSG00000240441	2	1	3	3	5	2
ENSG00000240443	0	0	0	0	0	0
ENSG00000240445	65	85	90	75	46	15
ENSG00000240449	31	49	50	42	35	9
ENSG00000240450	0	0	0	0	0	0
ENSG00000240452	0	0	0	0	0	0
ENSG00000240454	0	0	0	0	0	0
ENSG00000240457	3	6	3	13	6	8
ENSG00000240458	0	0	0	0	0	0
ENSG00000240459	0	0	0	0	0	0
ENSG00000240463	8	6	5	19	24	19
ENSG00000240470	0	0	0	0	0	0
ENSG00000240471	0	0	0	0	0	0
ENSG00000240474	3	2	6	6	3	2
ENSG00000240476	0	0	0	0	0	0
ENSG00000240477	0	0	1	0	0	0
ENSG00000240478	0	0	0	0	0	0
ENSG00000240480	0	0	0	0	0	0
ENSG00000240481	0	0	0	0	0	0
ENSG00000240484	0	0	0	0	0	0
ENSG00000240486	0	0	0	0	0	0
ENSG00000240487	0	1	0	0	0	0
ENSG00000240489	11	16	12	13	8	5
ENSG00000240490	0	0	0	0	0	0
ENSG00000240494	0	2	3	6	2	0
ENSG00000240497	8	15	3	17	7	6
ENSG00000240498	1	1	4	1	1	5
ENSG00000240499	0	0	0	2	0	0
ENSG00000240502	0	0	0	0	0	0
ENSG00000240505	29	75	179	210	203	92
ENSG00000240509	75	94	99	117	216	134
ENSG00000240511	0	0	0	0	0	0
ENSG00000240513	0	0	0	0	0	0
ENSG00000240518	0	0	0	0	0	1
ENSG00000240519	0	0	0	0	1	0
ENSG00000240520	3	0	0	1	1	1
ENSG00000240521	0	0	0	0	0	0
ENSG00000240522	0	0	0	0	0	0
ENSG00000240527	4	12	6	6	7	3
ENSG00000240531	10	7	4	6	4	15
ENSG00000240533	0	0	0	0	0	0
ENSG00000240534	0	0	0	0	0	0
ENSG00000240535	2	0	4	5	2	2
ENSG00000240540	0	0	0	0	0	0
ENSG00000240541	0	0	0	0	0	0
ENSG00000240542	0	0	0	1	0	0
ENSG00000240545	0	0	0	0	0	0
ENSG00000240549	0	0	0	0	0	0
ENSG00000240553	0	1	2	3	4	0
ENSG00000240554	0	0	0	0	0	0
ENSG00000240562	0	0	0	0	0	0
ENSG00000240563	1	5	2	2	7	1
ENSG00000240566	0	0	0	0	0	0
ENSG00000240567	0	0	0	0	1	1
ENSG00000240568	0	0	0	0	0	0
ENSG00000240571	0	2	2	2	1	0
ENSG00000240572	0	0	0	0	0	0
ENSG00000240573	0	0	0	0	0	0
ENSG00000240577	0	0	0	0	0	0
ENSG00000240578	0	0	0	0	0	0
ENSG00000240579	0	0	0	0	0	0
ENSG00000240583	1	7	3	4	4	2
ENSG00000240584	0	0	0	0	0	0
ENSG00000240589	0	2	3	3	1	0
ENSG00000240590	0	0	0	0	0	0
ENSG00000240591	10	7	8	26	20	8
ENSG00000240596	0	0	0	0	0	0
ENSG00000240601	0	0	0	0	0	0
ENSG00000240602	0	0	0	0	0	0
ENSG00000240606	0	0	0	0	0	0
ENSG00000240611	0	0	0	0	0	0
ENSG00000240613	0	0	0	0	0	0
ENSG00000240616	13	2	6	10	9	7
ENSG00000240621	0	0	0	0	1	0
ENSG00000240622	0	0	0	0	0	0
ENSG00000240624	0	0	0	0	0	0
ENSG00000240625	2	0	1	0	0	1
ENSG00000240626	0	0	0	0	0	0
ENSG00000240627	0	0	0	0	0	0
ENSG00000240631	0	0	0	0	0	0
ENSG00000240632	2	0	0	0	0	0
ENSG00000240634	9	6	6	14	11	29
ENSG00000240637	0	0	1	0	0	0
ENSG00000240639	0	0	0	0	0	0
ENSG00000240641	0	0	0	0	0	0
ENSG00000240647	0	0	0	0	0	0
ENSG00000240651	0	0	0	0	0	0
ENSG00000240652	0	0	0	0	0	0
ENSG00000240654	4	1	1	1	8	1
ENSG00000240661	0	0	0	2	0	0
ENSG00000240663	0	0	1	0	0	0
ENSG00000240665	0	0	0	0	0	0
ENSG00000240666	0	0	0	1	0	0
ENSG00000240667	0	0	0	0	0	0
ENSG00000240668	0	0	0	0	0	0
ENSG00000240669	7	8	2	2	3	6
ENSG00000240671	6	14	9	6	15	3
ENSG00000240673	0	0	0	0	0	0
ENSG00000240674	0	1	0	1	3	1
ENSG00000240677	0	0	0	0	0	0
ENSG00000240680	1	0	1	0	1	0
ENSG00000240682	481	666	515	605	775	691
ENSG00000240687	0	0	0	0	0	0
ENSG00000240692	0	0	0	0	0	0
ENSG00000240694	1	3	0	9	3	0
ENSG00000240695	5	15	20	6	10	22
ENSG00000240698	0	0	0	0	0	0
ENSG00000240704	0	0	0	0	0	0
ENSG00000240707	1	0	0	0	0	0
ENSG00000240708	0	0	0	1	0	0
ENSG00000240710	14	11	20	17	15	5
ENSG00000240713	0	0	0	0	0	0
ENSG00000240718	1	4	5	2	4	1
ENSG00000240720	10	10	7	8	6	3
ENSG00000240721	0	0	0	0	0	0
ENSG00000240723	0	0	0	0	0	1
ENSG00000240724	0	0	0	0	0	0
ENSG00000240729	10	10	22	14	16	2
ENSG00000240731	27	42	60	38	28	16
ENSG00000240733	2	2	4	2	2	1
ENSG00000240738	0	0	0	0	0	0
ENSG00000240739	1	2	0	0	0	0
ENSG00000240747	0	0	0	0	0	0
ENSG00000240750	3	6	1	4	4	4
ENSG00000240751	0	0	0	0	0	0
ENSG00000240752	0	0	0	0	0	0
ENSG00000240755	0	0	0	0	0	0
ENSG00000240758	0	3	1	0	2	2
ENSG00000240759	1	1	0	1	0	0
ENSG00000240760	0	1	0	0	0	0
ENSG00000240761	0	0	0	0	0	0
ENSG00000240764	0	0	1	1	0	0
ENSG00000240766	0	0	0	0	0	0
ENSG00000240767	2	3	3	1	0	1
ENSG00000240770	11	6	6	6	7	12
ENSG00000240771	3	12	22	36	28	6
ENSG00000240772	0	0	0	0	0	0
ENSG00000240774	0	0	0	0	0	0
ENSG00000240775	0	0	0	0	0	0
ENSG00000240776	0	0	0	0	0	0
ENSG00000240777	0	0	0	0	0	0
ENSG00000240785	0	1	1	0	1	1
ENSG00000240787	0	0	0	0	0	0
ENSG00000240790	6	6	6	7	15	9
ENSG00000240791	0	0	0	0	0	0
ENSG00000240792	0	0	0	0	0	0
ENSG00000240793	3	0	5	0	1	4
ENSG00000240796	0	0	0	0	0	0
ENSG00000240801	0	0	0	0	0	0
ENSG00000240803	0	0	0	0	0	0
ENSG00000240804	0	0	0	0	2	0
ENSG00000240808	6	5	7	3	6	9
ENSG00000240809	7	19	5	5	10	2
ENSG00000240813	0	0	0	0	0	0
ENSG00000240821	0	0	0	0	0	0
ENSG00000240823	3	2	2	3	4	1
ENSG00000240824	0	0	0	0	0	0
ENSG00000240827	0	2	0	3	1	3
ENSG00000240828	0	0	0	0	0	0
ENSG00000240837	0	0	0	0	0	0
ENSG00000240842	0	0	0	0	0	0
ENSG00000240846	0	0	0	0	0	0
ENSG00000240847	0	0	0	0	0	0
ENSG00000240849	425	632	422	389	345	520
ENSG00000240853	4	19	7	10	8	13
ENSG00000240854	14	11	18	23	16	20
ENSG00000240857	199	254	233	285	327	249
ENSG00000240859	32	54	49	18	29	48
ENSG00000240861	0	0	0	0	0	0
ENSG00000240863	0	0	0	0	0	0
ENSG00000240864	8	17	7	10	5	4
ENSG00000240868	0	0	0	0	0	0
ENSG00000240869	0	0	0	1	0	0
ENSG00000240870	0	0	0	0	0	0
ENSG00000240871	0	0	0	0	0	0
ENSG00000240873	0	0	0	0	0	0
ENSG00000240874	0	0	0	0	0	0
ENSG00000240875	8	4	2	11	7	7
ENSG00000240877	4	5	4	11	6	0
ENSG00000240881	0	0	0	0	0	0
ENSG00000240882	0	0	0	0	0	0
ENSG00000240888	0	0	0	0	0	0
ENSG00000240889	26	39	36	49	48	29
ENSG00000240890	0	1	1	1	0	0
ENSG00000240891	543	560	842	740	654	369
ENSG00000240893	4	1	1	0	2	8
ENSG00000240895	0	0	0	0	0	0
ENSG00000240898	2	3	1	0	7	6
ENSG00000240902	0	0	0	0	0	0
ENSG00000240905	0	0	0	0	0	0
ENSG00000240912	0	0	0	0	0	0
ENSG00000240914	28	42	25	46	67	54
ENSG00000240915	0	0	0	0	0	0
ENSG00000240919	0	0	0	0	0	0
ENSG00000240922	0	0	0	1	0	0
ENSG00000240925	0	0	0	1	0	0
ENSG00000240927	0	0	0	0	0	0
ENSG00000240929	0	0	0	0	0	0
ENSG00000240934	4	1	0	0	2	9
ENSG00000240935	0	0	0	1	0	0
ENSG00000240936	0	0	0	0	0	0
ENSG00000240940	0	0	0	0	0	0
ENSG00000240950	0	0	0	0	1	0
ENSG00000240951	0	0	0	0	0	0
ENSG00000240954	19	19	18	29	38	30
ENSG00000240959	0	0	0	0	0	0
ENSG00000240960	0	0	0	0	0	0
ENSG00000240961	0	0	0	0	0	0
ENSG00000240963	0	0	0	0	0	0
ENSG00000240964	0	0	1	0	0	0
ENSG00000240966	0	0	0	0	0	0
ENSG00000240970	0	0	0	0	0	0
ENSG00000240972	616	278	467	657	540	580
ENSG00000240973	0	0	0	0	0	0
ENSG00000240974	0	0	0	0	0	0
ENSG00000240975	0	0	0	0	0	0
ENSG00000240977	0	0	0	0	0	0
ENSG00000240979	0	0	0	0	0	0
ENSG00000240980	0	0	0	0	0	0
ENSG00000240983	0	0	0	0	0	0
ENSG00000240990	0	0	2	0	0	0
ENSG00000240991	1	0	0	0	0	0
ENSG00000240992	0	0	0	0	0	0
ENSG00000240993	0	0	0	0	0	0
ENSG00000240995	0	0	0	0	1	0
ENSG00000240996	1	1	0	0	1	0
ENSG00000240997	0	0	0	0	0	0
ENSG00000241002	0	0	0	0	0	0
ENSG00000241003	0	0	0	0	0	0
ENSG00000241007	23	12	20	26	35	10
ENSG00000241008	0	0	0	0	0	0
ENSG00000241011	0	0	0	0	0	0
ENSG00000241014	146	154	275	353	310	142
ENSG00000241015	54	96	92	80	72	65
ENSG00000241018	0	0	0	0	0	0
ENSG00000241020	0	0	0	0	0	0
ENSG00000241022	0	0	0	0	0	0
ENSG00000241026	0	0	0	0	0	0
ENSG00000241030	1	1	1	4	0	0
ENSG00000241032	0	1	0	0	0	0
ENSG00000241035	0	0	0	0	0	0
ENSG00000241037	0	0	0	0	0	0
ENSG00000241042	0	0	0	0	0	0
ENSG00000241045	1	0	0	1	0	0
ENSG00000241048	0	0	0	0	0	0
ENSG00000241052	0	0	0	1	0	0
ENSG00000241054	0	0	0	0	0	0
ENSG00000241057	5	4	11	17	16	16
ENSG00000241058	164	165	207	219	226	72
ENSG00000241059	0	0	0	0	3	0
ENSG00000241061	4	4	4	5	7	4
ENSG00000241064	1	0	0	1	0	0
ENSG00000241067	0	0	0	0	0	0
ENSG00000241069	0	0	0	0	0	0
ENSG00000241073	0	0	0	0	0	0
ENSG00000241074	0	0	0	0	0	0
ENSG00000241081	2	0	1	2	2	3
ENSG00000241082	0	0	0	0	0	0
ENSG00000241084	1	0	2	6	8	1
ENSG00000241088	0	0	0	0	1	0
ENSG00000241095	0	1	0	1	0	1
ENSG00000241097	0	0	0	0	0	0
ENSG00000241098	0	0	0	0	1	0
ENSG00000241101	0	0	0	0	0	0
ENSG00000241102	0	0	0	0	0	0
ENSG00000241103	0	0	0	0	0	0
ENSG00000241104	0	0	0	0	0	0
ENSG00000241105	0	0	0	0	0	0
ENSG00000241106	233	209	376	332	372	285
ENSG00000241111	0	0	0	1	0	0
ENSG00000241112	11	6	20	11	16	20
ENSG00000241114	0	0	0	0	0	0
ENSG00000241119	0	0	0	0	0	0
ENSG00000241120	4	3	8	6	1	0
ENSG00000241123	0	0	0	0	0	0
ENSG00000241127	48	43	73	80	77	48
ENSG00000241128	0	0	0	0	0	0
ENSG00000241129	1	2	1	0	0	1
ENSG00000241130	0	0	0	0	0	0
ENSG00000241131	0	0	0	0	4	0
ENSG00000241134	2	1	1	1	1	2
ENSG00000241135	5	9	2	3	3	3
ENSG00000241136	0	0	0	0	0	0
ENSG00000241143	0	0	0	0	0	0
ENSG00000241144	0	0	0	0	0	0
ENSG00000241146	0	1	0	0	0	0
ENSG00000241149	1	0	0	0	2	0
ENSG00000241151	0	0	0	0	0	0
ENSG00000241152	0	0	0	0	0	0
ENSG00000241155	2	8	6	4	9	4
ENSG00000241156	0	0	0	0	0	0
ENSG00000241157	8	8	6	9	7	23
ENSG00000241158	1	0	0	0	0	0
ENSG00000241159	0	0	0	0	0	0
ENSG00000241162	0	0	0	0	0	0
ENSG00000241163	371	899	82	65	74	699
ENSG00000241168	0	0	0	0	0	0
ENSG00000241169	0	0	0	0	0	0
ENSG00000241170	53	61	53	56	42	43
ENSG00000241172	0	0	1	0	0	0
ENSG00000241174	0	0	0	0	0	0
ENSG00000241175	1	1	1	0	0	3
ENSG00000241179	0	0	0	0	0	0
ENSG00000241180	0	0	0	0	0	0
ENSG00000241183	0	0	0	0	0	0
ENSG00000241185	3	3	0	2	2	0
ENSG00000241186	0	0	0	0	0	0
ENSG00000241187	0	0	0	0	0	0
ENSG00000241188	3	4	2	5	7	9
ENSG00000241198	0	0	0	0	0	0
ENSG00000241200	0	0	0	0	0	0
ENSG00000241202	0	0	0	0	0	0
ENSG00000241203	0	0	0	0	0	0
ENSG00000241204	0	0	0	0	0	0
ENSG00000241207	0	0	0	0	0	0
ENSG00000241211	0	0	0	0	0	0
ENSG00000241213	0	0	0	3	0	0
ENSG00000241216	0	0	0	0	0	0
ENSG00000241217	15	14	34	34	13	5
ENSG00000241218	0	0	0	0	0	0
ENSG00000241219	0	0	0	1	0	0
ENSG00000241220	0	0	0	2	0	3
ENSG00000241221	0	0	0	0	0	0
ENSG00000241223	0	0	0	0	0	0
ENSG00000241224	0	2	0	0	0	0
ENSG00000241225	0	0	0	0	0	0
ENSG00000241226	0	0	0	0	0	0
ENSG00000241227	0	0	0	0	0	0
ENSG00000241228	0	0	0	0	0	0
ENSG00000241229	0	0	0	0	0	0
ENSG00000241230	1	1	0	0	0	0
ENSG00000241231	0	0	0	0	0	0
ENSG00000241233	0	3	2	3	6	3
ENSG00000241241	0	0	0	0	0	0
ENSG00000241243	0	0	0	0	1	2
ENSG00000241244	0	2	1	0	0	1
ENSG00000241246	0	0	0	0	0	0
ENSG00000241248	0	0	0	0	0	0
ENSG00000241250	0	0	0	0	0	0
ENSG00000241251	0	0	0	0	0	0
ENSG00000241255	1	0	1	0	4	0
ENSG00000241257	0	0	0	0	0	0
ENSG00000241258	634	536	1014	753	783	658
ENSG00000241261	0	0	0	0	0	0
ENSG00000241269	1	1	0	0	0	1
ENSG00000241278	0	0	0	1	0	0
ENSG00000241280	2	0	1	1	0	0
ENSG00000241281	0	0	0	0	0	0
ENSG00000241282	0	0	0	0	2	0
ENSG00000241286	0	0	0	0	0	0
ENSG00000241288	12	8	7	8	13	9
ENSG00000241291	0	0	0	0	0	0
ENSG00000241293	0	0	0	0	0	0
ENSG00000241294	3	7	3	2	3	1
ENSG00000241295	0	0	0	0	1	0
ENSG00000241305	0	1	0	0	0	0
ENSG00000241307	0	0	0	0	0	0
ENSG00000241313	0	0	0	1	4	0
ENSG00000241316	0	1	1	2	1	1
ENSG00000241317	0	0	0	0	0	0
ENSG00000241318	0	0	0	0	0	0
ENSG00000241319	1	0	1	0	1	0
ENSG00000241322	0	2	3	2	0	2
ENSG00000241324	0	0	0	0	0	0
ENSG00000241326	0	0	0	0	0	0
ENSG00000241328	0	0	0	0	0	0
ENSG00000241333	21	27	31	14	14	47
ENSG00000241334	0	0	0	0	0	0
ENSG00000241336	0	0	0	0	0	0
ENSG00000241343	92	123	161	253	261	182
ENSG00000241344	0	0	0	0	0	0
ENSG00000241345	0	0	0	0	0	0
ENSG00000241346	0	0	0	0	0	0
ENSG00000241347	0	0	0	0	0	0
ENSG00000241350	1	2	0	0	1	0
ENSG00000241351	32	128	68	45	58	35
ENSG00000241352	24	31	26	32	55	32
ENSG00000241353	0	0	0	0	0	0
ENSG00000241354	0	0	0	0	0	0
ENSG00000241356	0	0	0	0	0	0
ENSG00000241357	10	17	26	6	7	6
ENSG00000241358	0	0	0	0	0	1
ENSG00000241359	0	0	0	0	0	0
ENSG00000241360	11	43	25	23	31	23
ENSG00000241361	5	1	1	1	3	0
ENSG00000241362	0	0	0	0	0	1
ENSG00000241367	0	0	0	0	0	0
ENSG00000241369	0	0	0	0	4	0
ENSG00000241370	55	43	38	33	29	50
ENSG00000241383	0	0	0	0	0	0
ENSG00000241385	0	0	0	0	0	0
ENSG00000241388	1	0	7	3	2	0
ENSG00000241391	0	0	0	0	0	0
ENSG00000241392	0	0	0	0	0	0
ENSG00000241395	0	2	6	2	3	2
ENSG00000241397	0	0	0	0	1	0
ENSG00000241399	390	635	224	225	209	458
ENSG00000241400	0	0	0	0	1	0
ENSG00000241404	9	7	9	5	4	0
ENSG00000241406	0	0	0	0	0	0
ENSG00000241409	0	0	0	0	0	0
ENSG00000241411	0	0	1	0	0	0
ENSG00000241413	6	2	5	3	2	12
ENSG00000241416	0	0	0	1	0	0
ENSG00000241418	0	1	2	0	0	0
ENSG00000241420	1	3	6	2	3	2
ENSG00000241423	0	0	0	0	0	0
ENSG00000241429	0	0	0	0	0	0
ENSG00000241431	52	71	73	77	133	94
ENSG00000241434	0	0	0	0	0	0
ENSG00000241438	0	0	0	0	0	0
ENSG00000241439	0	0	0	0	0	0
ENSG00000241449	0	0	0	0	0	0
ENSG00000241451	0	0	0	0	0	0
ENSG00000241456	0	0	0	0	0	0
ENSG00000241457	0	0	0	0	0	0
ENSG00000241458	7	3	5	9	15	10
ENSG00000241461	0	0	0	0	0	0
ENSG00000241462	0	0	0	0	0	0
ENSG00000241464	0	0	2	0	0	0
ENSG00000241468	165	150	185	239	254	193
ENSG00000241469	1	1	0	0	0	0
ENSG00000241472	0	0	0	0	0	1
ENSG00000241473	0	0	0	0	0	0
ENSG00000241475	0	0	0	0	0	0
ENSG00000241476	0	0	0	0	0	0
ENSG00000241478	0	0	0	0	0	0
ENSG00000241479	0	0	0	1	0	0
ENSG00000241484	144	148	377	290	210	110
ENSG00000241487	0	0	0	0	0	0
ENSG00000241489	24	65	37	37	36	17
ENSG00000241490	8	11	31	38	30	15
ENSG00000241493	0	0	0	0	0	0
ENSG00000241494	62	72	92	111	109	48
ENSG00000241499	0	0	0	0	0	0
ENSG00000241505	0	0	0	0	0	0
ENSG00000241506	32	41	38	45	36	22
ENSG00000241511	0	0	1	1	1	0
ENSG00000241520	0	0	0	0	0	0
ENSG00000241524	0	0	0	0	0	0
ENSG00000241525	3	5	10	8	2	2
ENSG00000241526	0	0	0	0	0	0
ENSG00000241527	40	33	26	27	12	12
ENSG00000241529	0	1	4	2	0	1
ENSG00000241532	0	0	0	0	0	0
ENSG00000241535	0	0	0	0	0	0
ENSG00000241537	0	0	0	0	0	0
ENSG00000241539	0	0	0	0	0	0
ENSG00000241542	0	0	0	0	0	0
ENSG00000241544	2	7	5	4	11	0
ENSG00000241546	0	0	0	0	0	0
ENSG00000241547	24	33	45	27	17	2
ENSG00000241549	6	8	9	19	9	4
ENSG00000241550	0	0	0	0	0	0
ENSG00000241552	0	0	0	0	0	0
ENSG00000241553	1095	1432	889	1131	1194	1999
ENSG00000241556	5	3	6	8	11	3
ENSG00000241560	2	5	15	21	11	10
ENSG00000241562	0	0	0	0	0	0
ENSG00000241563	5	2	3	3	4	2
ENSG00000241566	0	1	0	0	0	0
ENSG00000241568	0	0	0	0	0	0
ENSG00000241570	0	0	0	0	0	0
ENSG00000241571	0	0	0	0	0	0
ENSG00000241572	0	0	0	0	0	0
ENSG00000241573	0	0	0	0	0	0
ENSG00000241577	0	0	0	0	0	0
ENSG00000241582	0	0	0	0	0	0
ENSG00000241587	0	1	2	1	3	0
ENSG00000241588	0	0	0	0	0	0
ENSG00000241590	0	0	0	0	0	0
ENSG00000241592	0	0	0	0	0	0
ENSG00000241593	0	0	0	1	1	0
ENSG00000241595	0	0	0	0	0	0
ENSG00000241596	0	0	0	0	1	0
ENSG00000241597	0	0	1	0	0	0
ENSG00000241598	0	0	0	0	0	0
ENSG00000241599	0	0	0	0	0	0
ENSG00000241604	0	0	0	0	0	0
ENSG00000241607	0	0	0	0	0	0
ENSG00000241612	3	1	1	1	4	3
ENSG00000241613	0	0	0	0	0	0
ENSG00000241621	0	0	0	0	0	0
ENSG00000241622	0	0	0	0	0	0
ENSG00000241625	0	0	0	0	0	0
ENSG00000241627	11	12	20	24	10	2
ENSG00000241631	0	0	0	0	0	0
ENSG00000241634	3	4	3	6	5	0
ENSG00000241635	0	0	0	0	0	0
ENSG00000241636	0	0	0	0	0	0
ENSG00000241640	0	0	0	0	0	0
ENSG00000241641	0	2	0	3	3	4
ENSG00000241644	3	6	5	13	3	8
ENSG00000241648	0	0	0	0	1	0
ENSG00000241651	0	0	0	0	0	0
ENSG00000241652	0	0	0	0	0	0
ENSG00000241654	0	0	0	0	0	0
ENSG00000241656	0	0	0	0	0	0
ENSG00000241657	22	12	53	44	39	26
ENSG00000241661	0	0	0	1	0	0
ENSG00000241665	0	0	0	0	0	0
ENSG00000241666	57	43	39	56	37	65
ENSG00000241667	0	0	0	0	0	0
ENSG00000241668	0	0	0	0	0	0
ENSG00000241669	1	0	0	1	0	0
ENSG00000241671	0	0	2	0	1	1
ENSG00000241673	0	0	1	1	1	0
ENSG00000241678	1	1	1	2	3	1
ENSG00000241679	9	4	6	3	4	13
ENSG00000241680	0	0	1	0	2	1
ENSG00000241684	0	0	0	0	0	0
ENSG00000241685	109	122	82	98	108	174
ENSG00000241690	0	0	0	0	0	0
ENSG00000241693	0	0	0	0	0	0
ENSG00000241695	0	0	0	1	0	0
ENSG00000241696	0	0	1	0	0	0
ENSG00000241697	0	0	0	0	0	0
ENSG00000241709	0	3	4	1	0	0
ENSG00000241717	0	1	0	0	0	1
ENSG00000241720	0	0	1	0	0	0
ENSG00000241721	8	28	2	7	9	22
ENSG00000241722	0	0	0	0	0	0
ENSG00000241723	0	0	0	0	0	0
ENSG00000241728	0	0	0	0	0	0
ENSG00000241735	1	3	2	5	5	3
ENSG00000241737	0	0	0	0	0	1
ENSG00000241738	0	1	0	0	0	0
ENSG00000241739	0	0	0	0	0	0
ENSG00000241741	75	80	93	136	146	69
ENSG00000241743	0	0	0	0	0	0
ENSG00000241744	0	0	0	0	1	0
ENSG00000241745	0	0	1	0	0	2
ENSG00000241746	0	0	0	0	0	0
ENSG00000241749	2	0	0	0	1	0
ENSG00000241754	0	0	0	0	0	0
ENSG00000241755	8	13	11	4	9	6
ENSG00000241756	0	0	0	0	0	0
ENSG00000241757	0	0	0	0	0	0
ENSG00000241764	10	8	8	8	17	7
ENSG00000241765	1	0	0	0	0	0
ENSG00000241767	0	0	0	0	0	0
ENSG00000241769	90	112	150	140	106	71
ENSG00000241770	8	6	8	5	7	2
ENSG00000241772	12	24	19	17	8	82
ENSG00000241776	0	0	0	0	0	0
ENSG00000241777	0	0	0	0	0	0
ENSG00000241782	7	6	12	7	22	11
ENSG00000241785	0	0	0	0	0	0
ENSG00000241787	0	0	0	0	0	0
ENSG00000241788	0	0	0	0	0	0
ENSG00000241789	0	0	0	0	0	0
ENSG00000241790	0	0	0	0	0	0
ENSG00000241791	0	0	0	0	0	0
ENSG00000241792	0	0	0	0	2	0
ENSG00000241794	0	0	0	0	0	0
ENSG00000241804	0	0	0	0	0	0
ENSG00000241807	0	0	0	0	0	0
ENSG00000241808	0	0	0	0	0	0
ENSG00000241809	0	0	0	0	0	0
ENSG00000241810	0	0	0	0	0	0
ENSG00000241815	0	0	0	0	0	0
ENSG00000241818	0	0	0	0	0	0
ENSG00000241821	0	0	0	0	0	0
ENSG00000241825	2	0	2	2	3	1
ENSG00000241828	0	0	0	0	0	0
ENSG00000241829	1	1	0	0	0	0
ENSG00000241832	0	0	0	1	0	0
ENSG00000241834	0	0	0	0	0	0
ENSG00000241837	210	262	280	351	421	362
ENSG00000241838	0	0	0	0	0	0
ENSG00000241839	5668	8568	1524	1979	2051	7162
ENSG00000241846	0	0	0	0	0	0
ENSG00000241852	180	292	180	195	179	236
